"","event","trial","time","participant"
"372","blur",39,340565,"A1Q56N80RJLQ7S"
"373","focus",40,354364,"A1Q56N80RJLQ7S"
"374","blur",41,359945,"A1Q56N80RJLQ7S"
"375","focus",41,369643,"A1Q56N80RJLQ7S"
"376","blur",43,377789,"A1Q56N80RJLQ7S"
"377","focus",44,390096,"A1Q56N80RJLQ7S"
"378","blur",45,395245,"A1Q56N80RJLQ7S"
"379","focus",46,408750,"A1Q56N80RJLQ7S"
"380","blur",47,414483,"A1Q56N80RJLQ7S"
"381","focus",48,427147,"A1Q56N80RJLQ7S"
"382","blur",49,433445,"A1Q56N80RJLQ7S"
"383","focus",50,446531,"A1Q56N80RJLQ7S"
"384","blur",51,452092,"A1Q56N80RJLQ7S"
"385","focus",52,465304,"A1Q56N80RJLQ7S"
"386","blur",53,471184,"A1Q56N80RJLQ7S"
"387","focus",54,484759,"A1Q56N80RJLQ7S"
"388","blur",55,489948,"A1Q56N80RJLQ7S"
"389","focus",56,502606,"A1Q56N80RJLQ7S"
"390","blur",57,509801,"A1Q56N80RJLQ7S"
"391","focus",57,521855,"A1Q56N80RJLQ7S"
"392","blur",59,531516,"A1Q56N80RJLQ7S"
"393","focus",59,551093,"A1Q56N80RJLQ7S"
"394","blur",285,812409,"A1Q56N80RJLQ7S"
"395","focus",285,813848,"A1Q56N80RJLQ7S"
"396","blur",1092,1570335,"A1Q56N80RJLQ7S"
"397","focus",1093,1571043,"A1Q56N80RJLQ7S"
"398","focus",0,1193,"A2615YW1YERQBO"
"399","blur",1,633527,"A2615YW1YERQBO"
"400","focus",1,667262,"A2615YW1YERQBO"
"401","blur",1,681455,"A2615YW1YERQBO"
"402","focus",1,695044,"A2615YW1YERQBO"
"403","blur",1,705622,"A2615YW1YERQBO"
"404","focus",1,728597,"A2615YW1YERQBO"
"405","fullscreenenter",2,742090,"A2615YW1YERQBO"
"406","blur",1180,2757507,"A2615YW1YERQBO"
"407","focus",1180,2757508,"A2615YW1YERQBO"
"408","blur",1180,2759203,"A2615YW1YERQBO"
"409","focus",1180,2759205,"A2615YW1YERQBO"
"410","blur",2,33794,"A2683ZVNWI119A"
"411","focus",2,38999,"A2683ZVNWI119A"
"412","fullscreenenter",2,41825,"A2683ZVNWI119A"
"413","fullscreenexit",108,1185415,"A2683ZVNWI119A"
"414","blur",108,1186050,"A2683ZVNWI119A"
"415","focus",108,1191742,"A2683ZVNWI119A"
"416","blur",150,1426650,"A2683ZVNWI119A"
"417","focus",150,1428938,"A2683ZVNWI119A"
"418","blur",160,1500265,"A2683ZVNWI119A"
"419","focus",160,1502080,"A2683ZVNWI119A"
"420","blur",160,1503034,"A2683ZVNWI119A"
"421","focus",160,1561195,"A2683ZVNWI119A"
"422","blur",201,1822290,"A2683ZVNWI119A"
"423","focus",201,1823852,"A2683ZVNWI119A"
"424","blur",233,1972826,"A2683ZVNWI119A"
"425","focus",233,1976194,"A2683ZVNWI119A"
"426","blur",267,2194921,"A2683ZVNWI119A"
"427","focus",267,2197248,"A2683ZVNWI119A"
"428","blur",267,2197889,"A2683ZVNWI119A"
"429","focus",267,2201179,"A2683ZVNWI119A"
"430","blur",666,2615041,"A2683ZVNWI119A"
"431","focus",666,2632905,"A2683ZVNWI119A"
"432","fullscreenenter",2,24174,"A26BQ33MHKVYFB"
"433","focus",0,88,"A289D98Z4GAZ28"
"434","blur",2,18316,"A289D98Z4GAZ28"
"435","focus",2,19551,"A289D98Z4GAZ28"
"436","fullscreenenter",2,20661,"A289D98Z4GAZ28"
"437","focus",0,1563,"A2AAFWAAS9C1QC"
"438","blur",2,25696,"A2AAFWAAS9C1QC"
"439","focus",2,30208,"A2AAFWAAS9C1QC"
"440","fullscreenenter",2,37904,"A2AAFWAAS9C1QC"
"441","blur",63,918047,"A2AAFWAAS9C1QC"
"442","focus",63,934086,"A2AAFWAAS9C1QC"
"443","blur",977,1867871,"A2AAFWAAS9C1QC"
"444","focus",977,1882159,"A2AAFWAAS9C1QC"
"445","blur",1029,2028463,"A2AAFWAAS9C1QC"
"446","focus",1029,2041567,"A2AAFWAAS9C1QC"
"447","blur",1136,2425657,"A2AAFWAAS9C1QC"
"448","focus",1136,2454965,"A2AAFWAAS9C1QC"
"449","fullscreenenter",2,73996,"A2M183CETUMR96"
"450","fullscreenenter",2,7501,"A2OVWCQ4B9AHFY"
"451","fullscreenexit",3,8650,"A2OVWCQ4B9AHFY"
"452","blur",16,67286,"A2OVWCQ4B9AHFY"
"453","focus",16,68700,"A2OVWCQ4B9AHFY"
"454","blur",16,70794,"A2OVWCQ4B9AHFY"
"455","focus",16,273565,"A2OVWCQ4B9AHFY"
"456","blur",59,333271,"A2OVWCQ4B9AHFY"
"457","focus",60,333688,"A2OVWCQ4B9AHFY"
"458","blur",61,334979,"A2OVWCQ4B9AHFY"
"459","focus",61,335976,"A2OVWCQ4B9AHFY"
"460","blur",63,337562,"A2OVWCQ4B9AHFY"
"461","focus",64,338950,"A2OVWCQ4B9AHFY"
"462","blur",73,349413,"A2OVWCQ4B9AHFY"
"463","focus",73,351637,"A2OVWCQ4B9AHFY"
"464","blur",189,489057,"A2OVWCQ4B9AHFY"
"465","focus",189,489123,"A2OVWCQ4B9AHFY"
"466","blur",197,857611,"A2OVWCQ4B9AHFY"
"467","focus",197,896480,"A2OVWCQ4B9AHFY"
